来源,标题,开始时间,结束时间,链接
﻿货物,国电聊城发电有限公司#4炉空预器热端蓄热元件采购招标公告,2019-04-15 09:00,2019-04-23 16:00,http://www.cgdcbidding.com:80/ggsb/28094.jhtml
﻿货物,国电肇庆热电有限公司物业管理服务（三年）招标公告,2019-04-15 09:00,2019-04-23 16:00,http://www.cgdcbidding.com:80/ggsb/28096.jhtml
﻿货物,国电宝鸡新建封闭煤场项目推煤机招标采购招标公告,2019-04-12 12:00,2019-04-18 16:00,http://www.cgdcbidding.com:80/ggsb/28067.jhtml
﻿货物,烟台龙源电力技术股份有限公司国电泰安热电有限公司330MW机组#1炉节能改造项目纳米搪瓷换热板【二次挂网】招标公告,2019-04-16 09:00,2019-04-24 16:00,http://www.cgdcbidding.com:80/ggsb/28080.jhtml
﻿货物,国电龙源电气有限公司2019年度三代2.0MW变流器生产用料框架采购电缆框架招标公告,2019-04-16 09:00,2019-04-24 16:00,http://www.cgdcbidding.com:80/ggsb/28081.jhtml
﻿货物,国电龙源电气有限公司2019年度三代2.0MW变流器生产用料框架采购定子接触器和主接触器框架招标公告,2019-04-16 09:00,2019-04-24 16:00,http://www.cgdcbidding.com:80/ggsb/28082.jhtml
﻿货物,国电蚌埠发电有限公司细粉煤灰销售招标招标公告,2019-04-11 09:00,2019-04-18 16:00,http://www.cgdcbidding.com:80/ggsb/28055.jhtml
﻿货物,国电蚌埠发电有限公司粗粉煤灰销售招标招标公告,2019-04-11 09:00,2019-04-18 16:00,http://www.cgdcbidding.com:80/ggsb/28056.jhtml
﻿货物,元宝山发电有限责任公司MPS255型中速磨煤机复合双金属辊胎和复合双金属磨盘瓦采购项目【二次挂网】招标公告,2019-04-11 09:00,2019-04-19 16:00,http://www.cgdcbidding.com:80/ggsb/28075.jhtml
﻿货物,国电宿州第二热电有限公司细粉煤灰销售招标招标公告,2019-04-11 09:00,2019-04-18 16:00,http://www.cgdcbidding.com:80/ggsb/28078.jhtml
﻿货物,国电宿州第二热电有限公司粗粉煤灰销售招标招标公告,2019-04-11 09:00,2019-04-18 16:00,http://www.cgdcbidding.com:80/ggsb/28079.jhtml
﻿货物,内蒙古平庄能源股份有限公司物资供应分公司普通硅酸盐水泥项目采购招标公告,2019-04-08 09:00,2019-04-16 16:00,http://www.cgdcbidding.com:80/ggsb/27982.jhtml
﻿货物,蒙东能源控股有限责任公司工业盐酸招标公告,2019-04-16 09:00,2019-04-21 16:00,http://www.cgdcbidding.com:80/ggsb/27984.jhtml
﻿货物,国电联合动力技术有限公司2019年度风机安全带（框架）招标公告,2019-04-10 09:00,2019-04-18 16:00,http://www.cgdcbidding.com:80/ggsb/27986.jhtml
﻿货物,辽宁阜新鸡冠山（44MW）风电项目一次设备【二次挂网】招标公告,2019-04-10 09:00,2019-04-16 16:00,http://www.cgdcbidding.com:80/ggsb/28020.jhtml
﻿货物,国电龙源电气有限公司2019年度三代2.0MW变流器生产用料框架采购框架断路器（标段I）招标公告,2019-04-10 09:00,2019-04-18 16:00,http://www.cgdcbidding.com:80/ggsb/28021.jhtml
﻿货物,国电铜陵发电有限公司细粉煤灰销售处理（一年）招标招标公告,2019-04-10 09:00,2019-04-18 12:00,http://www.cgdcbidding.com:80/ggsb/28022.jhtml
﻿货物,国电铜陵发电有限公司粗粉煤灰销售处理（一年）招标招标公告,2019-04-10 09:00,2019-04-18 12:00,http://www.cgdcbidding.com:80/ggsb/28023.jhtml
﻿货物,国电龙源电气有限公司2019年度三代2.0MW变流器生产用料框架采购框架断路器（标段II）招标公告,2019-04-10 09:00,2019-04-18 16:00,http://www.cgdcbidding.com:80/ggsb/28027.jhtml
﻿货物,国家能源集团泰州发电有限公司一期输煤DCS系统远程柜升级改造【二次挂网】招标公告,2019-04-10 09:00,2019-04-18 16:00,http://www.cgdcbidding.com:80/ggsb/28031.jhtml
